anvisningsenhedsNummer;anvisningsenhedsNavn;dawaID;vejNavn;husNummer;supplerendeBynavn;postNummer;byNavn;kommuneKode;etage;doer;geoBredde;geoLaengde;vejKode;instType3;email;telefonNummer;cvrNummer;pNummer;senestOpdateret;daginstitutionsNummer
G14934;Højen;4536e49d-5b73-4d74-9f01-ba95039f3f3e;Buskelundhøjen;93;;8600;Silkeborg;740;;;56.18158692;9.50331483;203;6012;;;29189641;1013847548;13-12-2022 14:20:58;G14933
G14935;Gården;21cce19f-0734-473a-860a-7bdbc4dbf3e9;Buskelundtoften;6;;8600;Silkeborg;740;;;56.18316596;9.50515356;205;6012;;;29189641;1023296647;26-06-2023 09:30:38;G14933
G14936;Eventyrhuset;d86df248-4ed7-400e-aabd-ecdf81c85d68;Buskelundtoften;5;;8600;Silkeborg;740;;;56.18321217;9.51015952;205;6011;;;29189641;1008645414;13-12-2022 14:15:51;G14933
G14938;Dybkærgården;f2b24210-b1fd-4a59-a75d-ba0b7c2449b8;Arendalsvej;270;;8600;Silkeborg;740;;;56.19169146;9.59712674;57;6012;;;29189641;1003359294;13-12-2022 14:12:10;G14937
G14940;Skovbuen;ad749b3b-20ee-42ee-ac9c-1e2b315dc95b;Stockholmsvej;6;;8600;Silkeborg;740;;;56.19026649;9.61553685;1714;6012;;;29189641;1011493331;13-12-2022 14:26:46;G14937
G14942;Tumlehøjen;fccdabf4-fc66-410d-8c9e-1a77b3a7c4f5;Stockholmsvej;4;;8600;Silkeborg;740;;;56.19159898;9.61574688;1714;6012;;89703070;29189641;1014488541;13-06-2019 10:04:09;G14937
G14944;Elverhøjen Børnehus;b242960f-1e8c-4822-b7e8-527f8ec26bdb;A.Andersens Vej;13;;8600;Silkeborg;740;;;56.19126242;9.58325341;1;6012;;;29189641;1016071230;13-12-2022 14:12:44;G14937
G25263;Børnehuset Harsnablundvej;a6c3fa40-5ccb-49de-8861-f9664d8bb6fe;Harsnablundvej;5;;8600;Silkeborg;740;;;56.19135555;9.61119748;639;6012;;;29189641;1029394985;15-06-2023 13:44:21;G14937
G14946;Regnbuen;2d3146bb-33ff-4845-96db-667309db7c18;Buskelundhøjen;233;;8600;Silkeborg;740;;;56.17805796;9.49796581;203;6012;;;29189641;1003359464;13-12-2022 14:24:23;G14945
G14948;Kærsgård;bdfb6e7c-8324-4df2-88b2-15c2d6198ded;Kollundvej;3A;;8600;Silkeborg;740;;;56.17613593;9.51366972;943;6012;;;29189641;1003359786;13-12-2022 14:22:55;G14945
G14950;Hvinningdal Børnehus;2d2a2fa6-6955-468a-a1ae-a84f9850ff81;Eidervej;42;;8600;Silkeborg;740;;;56.17392586;9.49963331;340;6012;;;29189641;1004129434;13-12-2022 14:20:38;G14945
G17225;Børnehuset Bakkebo;dc7bffbe-dfd9-4ffb-b1e6-8d07ab5c0609;Hvinningdal Kirkevej;2;;8600;Silkeborg;740;;;56.17494645;9.49706061;2320;6012;;20231270;29189641;1023983830;23-06-2023 12:03:17;G14945
G14953;Granly;2a2afeb2-baaf-4635-96ea-5cb46b339617;Gunilshøjvej;64;;8600;Silkeborg;740;;;56.13414364;9.55676374;601;6012;;20354122;29189641;1003359269;13-06-2019 10:04:10;G14952
G14955;Virklund Børnehus;0a3f50c2-09f5-32b8-e044-0003ba298018;Solhøjsvej;6;;8600;Silkeborg;740;;;56.15900449;9.53528104;1657;6012;;;29189641;1014869278;13-12-2022 14:31:11;G14952
G14956;Søfryd;13063850-08a2-4cab-8f16-38f643d5046d;Marienlystvej;1;;8600;Silkeborg;740;;;56.13832147;9.55890607;1166;6012;;;29189641;1003359907;13-12-2022 14:28:56;G14952
G14958;Troldehøjen;59dec1f8-5d78-4c21-be37-cbde013fc226;Gjessøvej;40C;;8600;Silkeborg;740;;;56.15146377;9.52423238;520;6012;;;29189641;1004129446;13-12-2022 14:29:29;G14952
G25167;Børnehuset Korshøjvej;56db65ea-9179-4c2e-8452-dac4254ccbcc;Korshøjvej;4;;8600;Silkeborg;740;;;56.13611571;9.5660644;965;6012;;;29189641;1028767087;09-01-2023 11:08:17;G14952
G14961;Børnehuset Søholt;ac6735d8-d8c6-46f2-b293-415beb12a30d;Lindevænget;3;;8600;Silkeborg;740;;;56.18362312;9.56941737;1064;6012;;;29189641;1003359828;13-12-2022 11:48:18;G14960
G14963;Børnegården;ae70029a-680d-4590-a26e-3558a9f06d8b;Plantagevej;1;;8600;Silkeborg;740;;;56.17714481;9.53994942;1380;6012;;;29189641;1003359968;13-12-2022 11:46:20;G14960
G14965;Engen;7d4dc032-8f33-4141-9d38-b0fc9e789337;Kejlstrupvej;30A;;8600;Silkeborg;740;;;56.17984711;9.55769736;893;6012;;;29189641;1004129471;13-12-2022 14:15:22;G14960
G17251;Idrætsbørnehuset Nørrevænget;27169ac8-ab1e-4c91-a90c-465f62f58eeb;Nørrevænget;80;;8600;Silkeborg;740;;;56.18494706;9.54954005;1310;6012;;;29189641;1024039443;13-12-2022 14:21:26;G14960
G14968;Julsøhaven;558dbfa3-ce3d-4a77-bf88-d071021d5c47;Julsøvej;122A;Sejs-Svejbæk;8600;Silkeborg;740;;;56.13737272;9.62033747;862;6012;;;29189641;1004129458;13-12-2022 14:21:41;G14967
G14970;Kløverhuset;0a3f5095-4377-32b8-e044-0003ba298018;Anedalvej;3A;;8600;Silkeborg;740;;;56.13090538;9.70061045;46;6011;;40104213;29189641;1003359270;23-08-2019 10:39:23;G14967
G14971;Lynghøjen;0346f047-7a00-41c7-87a5-df866ccb1c3b;Strandvejen;1;Sejs-Svejbæk;8600;Silkeborg;740;;;56.13928896;9.6010981;1718;6012;;;29189641;1003360175;13-12-2022 14:23:43;G14967
G24113;Børnehuset Langdalshøjen;50721dae-2929-46b7-b957-f2627ac98fef;Langdalshøjen;1;;8600;Silkeborg;740;;;56.14007503;9.6270279;2310;6012;;;29189641;1027128226;01-06-2021 13:00:37;G14967
G23501;Linå Børnehus;0a3f5095-70ff-32b8-e044-0003ba298018;Linå Bygade;2;;8600;Silkeborg;740;;;56.15241435;9.68831786;1065;6012;;;29189641;1026158865;04-09-2020 11:08:14;G14967
G24998;Børnehuset Bøgehuset;0a3f50c2-605b-32b8-e044-0003ba298018;Harbohøjvej;2;;8653;Them;740;;;56.08939867;9.54012684;636;6010;;;29189641;1004993928;21-06-2023 10:09:25;G14973
G25000;Børnehuset Poppelhuset;0a3f50c2-58d3-32b8-e044-0003ba298018;Frisholmvej;18;;8653;Them;740;;;56.08086244;9.54577911;437;6011;;;29189641;1028422535;04-10-2022 06:23:48;G14973
G14976;Bryrup Børnehus;8248b6aa-eaf9-4b9c-9288-19c1000c9373;Østervang;41;;8654;Bryrup;740;;;56.02173764;9.52474651;2157;6012;;;29189641;1003361109;13-12-2022 11:46:04;G14973
G14977;Børnehuset Askehuset;ba00cd7c-1d22-40dc-b3f6-11b45515da93;Toftbjerg Bakke;2;;8653;Them;740;;;56.09045788;9.54812658;1845;6011;;;29189641;1003361080;13-12-2022 11:46:57;G14973
G14979;Storkeredens Børnehus;305c15da-08c1-428c-afba-81273fbc5794;Ågade;30;;8620;Kjellerup;740;;;56.28570128;9.43581859;2163;6012;;;29189641;1003369627;13-12-2022 14:28:39;G14978
G14981;Levring Børnehus;cccfe0b6-cc78-4293-aa20-068a857eb3ac;Slussi;1;Levring;8620;Kjellerup;740;;;56.30654453;9.46885114;1632;6012;;;29189641;1014652376;13-12-2022 14:23:10;G14978
G14983;Broparken;34e48f24-16e3-4734-94e5-b9dfc08518fe;Broparken;3;;8620;Kjellerup;740;;;56.28656602;9.43349414;188;6011;;;29189641;1003369329;13-12-2022 11:45:53;G14978
G14984;Mælkebøtten;0a3f50c5-2089-32b8-e044-0003ba298018;D. Christensens Vej;5;;8620;Kjellerup;740;;;56.28385784;9.43412091;247;6011;;;29189641;1017310603;13-12-2022 14:24:00;G14978
G24999;Børnehuset Hasselvej;d721dbfe-8325-41a5-bf1d-01242e4e43ab;Hasselvej;19;;8620;Kjellerup;740;;;56.28054447;9.4525283;641;6012;;;29189641;1028422519;24-08-2022 08:46:26;G14978
G15062;Naturbh v. Friskolen i Thorlund;0a3f5090-77b4-32b8-e044-0003ba298018;Byvej;4;Thorlund;7361;Ejstrupholm;756;;;55.9744482;9.33575204;103;6012;info@friskolenithorlund.dk;75773117;12294174;1000364508;14-02-2022 12:10:54;G15061
G15064;International Kindergarten Ikast-Brande;71db11fb-3540-439e-8b88-2bf694869d6c;Bøgildvej;2;;7430;Ikast;756;;;56.1368433;9.12735931;114;6011;office@isib.dk;97156465;31952182;1015065709;22-11-2022 13:48:00;G15063
G15066;Gludsted Børnehave;0a3f50bc-70e9-32b8-e044-0003ba298018;Smedebækvej;30;Gludsted;7361;Ejstrupholm;756;;;56.03295776;9.30734731;792;6011;post@gludstedfriskole.dk;75775284;27910130;1010627148;09-12-2021 07:43:28;G15065
G15068;Solstrålen Blåhøj;a2e52fae-41d7-43da-a357-acdff1b1e402;Blåhøj Skolevej;6;;7330;Brande;756;;;55.8617433;9.00821217;59;6012;institutionsolstralen@gmail.com;30245638;15448644;1000925353;01-12-2021 16:08:55;G15067
G15232;Fribørnehuset Øster Jølby;0a3f5097-c758-32b8-e044-0003ba298018;Præstbrovej;276;Øster Jølby;7950;Erslev;773;;;56.83547852;8.72263452;6360;6011;kontor@ojf.dk;97741157;13528012;1013147821;15-12-2021 13:44:05;G15231
G15234;Ørding Børnehus;0a3f50c5-5cca-32b8-e044-0003ba298018;Skolesvinget;9;Ørding;7990;Øster Assels;773;;;56.71868707;8.76050017;7190;6012;bornehaven@oerdingfriskole.dk;97766317;14769102;1000802243;01-12-2021 20:16:14;G15233
G15236;Sydvestmors børnehave og vuggestue;0a3f5097-c311-32b8-e044-0003ba298018;Næssundvej;325;V Hvidbjerg;7960;Karby;773;;;56.74433907;8.60202909;5750;6012;Sydvestmors@bhvg.dk;97761299;21018171;1004648123;15-12-2021 13:32:34;G15235
G15238;Sundby Børnehus;cd75976b-fde4-4ca8-b847-d38cc46dd723;Skolebakken;12;Sundby;7950;Erslev;773;;;56.87654264;8.67365751;7130;6012;Post@sundbybornehus.dk;60347657;25451600;1007718523;01-12-2021 17:28:54;G15237
G15240;Lødderup Fribørnehus  Pr;91dad538-bd98-456a-aebc-e022c4be9a76;Degnestræde;11;Lødderup;7900;Nykøbing M;773;;;56.77603276;8.79424005;1100;6012;kontor@l-fri.dk;97725225;25164482;1007375634;02-12-2021 10:45:15;G15239
G15242;Eventyrhuset;0a3f50c5-3edc-32b8-e044-0003ba298018;Elsøvej;115;Elsø;7900;Nykøbing M;773;;;56.7997685;8.79773128;1470;6012;eventyrhuset@gmail.com;21530949;32526004;1015694994;02-12-2021 08:37:45;G15241
G15244;Børnehuset Østergade;34103560-b115-46eb-9be6-074bff41516c;Østergade;63;;7900;Nykøbing M;773;;;56.79633812;8.87008449;9780;6012;post@bornehavenostergade.dk;29880352;24196887;1006397642;14-02-2022 15:03:47;G15243
G15250;Puljehuset Redsted;0a3f50c5-56d3-32b8-e044-0003ba298018;Nøråvej;10;Redsted;7970;Redsted M;773;;;56.73833434;8.64756548;5950;6010;Muddi64@hotmail.com;97762434;16620734;1001131371;14-02-2022 14:11:37;G15249
G15382;Langsø Børnehus;0a3f50c6-4171-32b8-e044-0003ba298018;Haugårdsvej;4;Vammen;8830;Tjele;791;;;56.53013412;9.57281664;508;6012;nicolaj@langsoe-friskole.dk;87999301;31118670;1014173737;07-12-2021 14:30:48;G15381
G15384;Bjerregrav Børnehus;294bb78a-136e-4cd2-8f82-a1307b8024c3;Herredsvejen;131;Bjerregrav;9632;Møldrup;791;;;56.57967927;9.50456816;552;6011;bornehuset@bjerregravfriskole.dk;86691283;31641373;1014706409;01-12-2021 15:10:11;G15383
G15386;Vejrumbro Fri;0a3f50c6-42b0-32b8-e044-0003ba298018;Hovedgaden;15;Vejrumbro;8830;Tjele;791;;;56.44046471;9.5527546;597;6012;skoleleder@vejrumbrofri.dk;20411694;25395735;1007686583;01-12-2021 20:57:48;G15385
G15388;Mammen Frivuggestue Og Børnehave;0a3f50c4-d78b-32b8-e044-0003ba298018;Mammen Byvej;69;;8850;Bjerringbro;791;;;56.4116987;9.61205425;979;6012;afdelingsleder@mammenfri.dk;61695750;27736890;1010565274;02-12-2021 10:04:16;G15387
G15390;Vores Naturbørnehus;0a3f50c4-d5b0-32b8-e044-0003ba298018;Kløservejen;3;Sahl;8850;Bjerringbro;791;;;56.33586284;9.63630321;816;6012;mail@vores-naturbornehus.dk;86680344;27707343;1010531051;07-12-2021 14:10:27;G15389
G15392;Privat Institution - Solstrålen;77dafcc5-7f29-43ff-a119-1f6340cfb937;Kirkebyvej;56;;9620;Aalestrup;791;;;56.66514851;9.50471829;771;6011;bhleder@nbsol.dk;35121023;34159939;1017508292;07-03-2022 09:12:26;G15391
G15394;Løvspring vuggestue og børnehave;3aabbb0b-898a-4cb0-8e8e-f8cf7755f626;Vinkelvej;32;;8800;Viborg;791;;;56.44143336;9.42290433;9441;6012;info@loevspring.dk;86623492;29351244;1012124178;15-12-2021 13:24:37;G15393
G15396;Nørreå Børnehus;0a3f50c4-d0e8-32b8-e044-0003ba298018;Gl. Randersvej;6;Skjern;8850;Bjerringbro;791;;;56.45173074;9.74789606;436;6012;leder@norrea.dk;26669947;31351995;1014474427;17-12-2021 10:13:31;G15395
G15398;Børnehuset Møgelkær;3cb0a0c6-3d1e-0e4a-e044-0003ba298018;Møgeltoft;71;;8800;Viborg;791;;;56.44446885;9.36030015;5773;6012;marlene@bhm.nu;40601818;30816544;1013579454;01-12-2021 19:07:20;G15397
G15400;Privat Institution -Tumlelunden;0a3f50c6-7c3b-32b8-e044-0003ba298018;Liseborgvej;37;;8800;Viborg;791;;;56.43251654;9.37609315;5105;6012;;25175552;34403708;1017629456;13-06-2019 10:04:55;G15399
G15417;Naturbørnehaven Høndruphus;0a3f50c6-3f9d-32b8-e044-0003ba298018;Drøwten;19;Lindum;8830;Tjele;791;;;56.56568527;9.6710376;243;6011;kdf@viborg.dk;98544424;25527232;1007808654;07-03-2022 08:07:23;G15416
G15425;Børnehaven Tangelopperne;0a3f50c4-d2ab-32b8-e044-0003ba298018;Husbondvej;39;Tange;8850;Bjerringbro;791;;;56.35544859;9.58404234;609;6011;bhvtangelopperne@gmail.com;50519211;13152144;1000509945;14-02-2022 13:18:49;G15424
G15475;Den Lille Børnehave;afa54fac-1c1c-48ac-9f20-cafe1c00ad52;Suensonsvej;51;;9900;Frederikshavn;813;;;57.44252497;10.51105573;7949;6011;;98423634;26472709;1008954425;13-06-2019 10:05:02;G15474
G15477;Idrætsbørnehaven Bispevang;0a3f50c9-74e1-32b8-e044-0003ba298018;Bispevang;1;;9300;Sæby;813;;;57.32515391;10.52080186;126;6011;;20257177;16738794;1003383112;23-09-2021 14:17:01;G15476
G15479;Bødkergården;0a3f50c9-766b-32b8-e044-0003ba298018;Brøndenvej;34;;9750;Østervrå;813;;;57.33688893;10.24375831;188;6012;;98457410;26949033;1006490505;13-06-2019 10:05:02;G15478
G15481;Thorshøj Børnehus;57d0c832-c86f-41c8-a9e5-958de4ad87d7;Hjørringvej;222A;Thorshøj;9750;Østervrå;813;;;57.33618974;10.31174913;699;6012;;98956082;16448842;1006400838;29-11-2022 13:32:49;G15480
G15483;Børnehuset Ålbæk;2cc8cbad-3eeb-497f-8f5d-68d6e95b3e57;Engvej;10;;9982;Ålbæk;813;;;57.59491439;10.40949297;372;6011;;61246934;29189498;1018549340;14-09-2022 12:41:19;G15482
G15484;Børnehaven Fyrrekrat;3cc9b5a7-9db8-4993-81f7-ee14ac336e30;Gl. Landevej;43;;9990;Skagen;813;;;57.72121222;10.55235621;517;6011;;98457553;29189498;1014608628;23-09-2021 14:18:44;G15482
G15485;Børnehuset Mariehønen;e7c4b5d9-ffac-4cfe-a97d-da7b81e306be;Søndergårdsvej;13;;9981;Jerup;813;;;57.53088047;10.42001355;8145;6012;;98457811;29189498;1003378236;23-09-2021 14:21:37;G15482
G15486;Børnehaven Mattisborgen;0a3f50c9-3340-32b8-e044-0003ba298018;Lindevej;13;;9990;Skagen;813;;;57.72767898;10.57365463;1126;6011;;98457552;29189498;1003382268;23-09-2021 14:22:14;G15482
G15487;Børnehuset Molevitten;0a3f50c7-5dc5-32b8-e044-0003ba298018;Grundtvigsvej;75;Elling;9900;Frederikshavn;813;;;57.48095606;10.47556752;2170;6012;;30238913;29189498;1005092177;23-09-2021 14:22:51;G15482
G15488;Pilekrattet;f6ae19af-03e8-43f3-8eb0-d57b2a1b88f4;Cronborgvej;20;;9990;Skagen;813;;;57.73361298;10.58471757;263;6011;;98457556;29189498;1004340259;13-06-2019 10:05:04;G15482
G15489;Vuggestuen Regnbuen;f6ae19af-03e8-43f3-8eb0-d57b2a1b88f4;Cronborgvej;20;;9990;Skagen;813;;;57.73361298;10.58471757;263;6010;;98457556;29189498;1003382414;23-09-2021 14:24:43;G15482
G15490;Børnehuset Trindelvej;0a3f50c9-4399-32b8-e044-0003ba298018;Trindelvej;6;;9990;Skagen;813;;;57.72306368;10.57913219;2038;6012;;98442524;29189498;1015597506;23-09-2021 14:28:22;G15482
G24107;Børnehuset Golfparken;53d966c7-f41f-4435-ad35-d5f577d2945b;Golfvej;5;;9900;Frederikshavn;813;;;57.46047524;10.51787502;2075;6012;;;29189498;1027083540;02-03-2023 07:28:24;G15482
G24043;Abildgård Børnehus;d3729f8b-47be-4713-9771-e9101b9c6231;Abildvej;20;;9900;Frederikshavn;813;;;57.4499475;10.51376688;103;6011;;98458348;29189498;1026877195;02-09-2021 09:07:40;G15491
G15492;Børnehuset Abildvej;d3729f8b-47be-4713-9771-e9101b9c6231;Abildvej;20;;9900;Frederikshavn;813;;;57.4499475;10.51376688;103;6012;;23358406;29189498;1003377629;04-10-2022 09:37:32;G15491
G15494;Landbørnehaven;0a3f50c7-6255-32b8-e044-0003ba298018;Hjørringvej;180E;;9900;Frederikshavn;813;;;57.44591489;10.48029146;2834;6011;;24912700;29189498;1004216268;13-06-2019 10:05:04;G15491
G15495;Børnehuset Mælkevejen;4526c6c6-dddc-4be3-9881-92dfad22dbf8;Peter Wessels Vej;40;;9900;Frederikshavn;813;;;57.44040485;10.51725842;5985;6012;;98457355;29189498;1018246305;23-09-2021 14:23:40;G15491
G15496;Børnehuset Pilekvisten;0a3f50c7-91b6-32b8-e044-0003ba298018;Ternevej;5;;9900;Frederikshavn;813;;;57.44058235;10.52819959;8251;6012;;23350207;29189498;1007668399;23-09-2021 14:24:12;G15491
G15499;Børnehaven Øster Dahl;0a3f50c7-993a-32b8-e044-0003ba298018;Øster Dal Vej;35;;9900;Frederikshavn;813;;;57.43691413;10.47994109;9700;6011;;23358406;29189498;1007536026;23-09-2021 14:29:36;G15491
G15503;Kernehuset;7c7f3559-bae5-4e6a-9dc7-32214f989245;Brønderslevvej;99;;9900;Frederikshavn;813;;;57.40573583;10.44042166;855;6012;;98457532;29189498;1003377691;02-03-2023 07:39:01;G15491
G15506;Børnehuset Troldehøj;0a3f50c7-8105-32b8-e044-0003ba298018;Ravnshøjvej;155;Ravnshøj;9900;Frederikshavn;813;;;57.45220321;10.42405921;6110;6012;;98455398;29189498;1003378091;02-03-2023 07:39:02;G15491
G15508;Børnehuset Brolæggervej;0a3f50c9-7635-32b8-e044-0003ba298018;Brolæggervej;2;;9300;Sæby;813;;;57.31912388;10.51183047;174;6012;;27576334;29189498;1016969822;23-09-2021 14:17:35;G15507
G15509;Dybvad Børnehus;7f782549-fa6b-4be9-96a1-6cb9febe6f09;Markedsvej;8;;9352;Dybvad;813;;;57.27542075;10.35636034;1213;6012;;61462217;29189498;1006495805;04-10-2022 09:36:43;G15507
G15510;Hørby Børnehus;dfa48585-eab8-40e5-879a-ab8977612362;Hybenvej;15;Hørby;9300;Sæby;813;;;57.32564262;10.38184405;754;6012;;40922899;29189498;1003383276;04-10-2022 09:37:07;G15507
G15511;Børnehuset Sæbygårdvej;ca018556-ec22-45d1-9f62-fd72446d3790;Sæbygårdvej;33;;9300;Sæby;813;;;57.3339229;10.50074793;1929;6012;;20251709;29189498;1004218703;23-09-2021 14:27:38;G15507
G15512;Børnehuset Sættravej;0a3f50c9-934e-32b8-e044-0003ba298018;Sættravej;6;;9300;Sæby;813;;;57.32399439;10.49799091;1933;6012;;20253226;29189498;1003383495;23-09-2021 14:27:58;G15507
G15513;Voerså Børnehus;7115abb4-5da6-6bfc-e044-00144f3ead67;Østkystvejen;314;Voerså;9300;Sæby;813;;;57.21161601;10.48954955;3012;6012;;51447108;29189498;1003383355;14-09-2022 12:38:39;G15507
G15504;Børnenes Hus Lærkereden;0a3f50c7-7160-32b8-e044-0003ba298018;L.P. Houmøllers Vej;19;;9900;Frederikshavn;813;;;57.42554243;10.5134684;3969;6012;;40423023;29189498;1007536042;02-03-2023 07:35:54;G15507
G15501;Børnehuset Bangsbo og Skovbørnehaven;ca42451f-d0a2-4136-a05b-20cf2d593027;Gl. Skolevej;25;;9900;Frederikshavn;813;;;57.42169145;10.5124875;1989;6011;;23664765;29189498;1003377770;02-03-2023 07:35:54;G15507
G15502;Børnehuset Hånbæk;0a3f50c7-846c-32b8-e044-0003ba298018;Rømøvej;10;;9900;Frederikshavn;813;;;57.43319847;10.51719069;6442;6012;;98457350;29189498;1003378091;02-03-2023 07:35:54;G15507
G15515;Storkereden;0a3f50c8-9325-32b8-e044-0003ba298018;Troldbjergvej;6;Vilsted;9670;Løgstør;820;;;56.90599342;9.28366681;1396;6012;storkereden@os.dk;98676030;26842069;1008559569;01-12-2021 19:47:21;G15514
G15517;Forældrebestyrelsen;a512ec14-4156-42ab-996c-8112b93da48f;Knabervej;112;Fjelsø;9620;Aalestrup;820;;;56.66777892;9.43312316;692;6011;mariehoenen-fjelsoe@mail.dk;98647022;17061143;1001214355;02-12-2021 08:18:36;G15516
G15519;Haubro Friskole og Børnehus;0f45a480-602a-4072-92e1-65a2aaf3fb13;Vadgårdvej;4;Havbro;9600;Aars;820;;;56.79882945;9.41477056;1434;6012;info@haubrofriskole.dk;98664091;52583519;1001989506;01-12-2021 20:24:12;G15518
G17759;Vuggestien og børnehaven Guldklumpen;654edac7-17c7-466a-9ca5-68d26b6ae203;Øster Hornumvej;58;Guldbæk;9230;Svenstrup J;840;;;56.94132765;9.80759642;1144;6012;guldklumpen@guldbaek-friskole.dk;98385233;54295316;1002016175;15-12-2021 13:07:34;G15546
G17757;Gregers Krabbe Naturbørnehave og Naturvuggestue;0a3f50c9-613f-32b8-e044-0003ba298018;Haverslevvej;109;Aarestrup;9520;Skørping;840;;;56.81710679;9.74327756;327;6012;naturbhvs@gregerskrabbe.dk;98375149;28445660;1011252830;07-12-2021 14:06:43;G15548
G15589;Kammas Børneunivers - Fri-børnehave og fri-vuggestue;0a3f50c6-c37d-32b8-e044-0003ba298018;Park Alle;2;Astrup;9510;Arden;846;;;56.76794939;9.98176407;1174;6012;Skoleleder@astrup-friskole.dk;25609400;33545274;1016786248;17-12-2021 09:53:58;G15588
G15591;Frimærket, Vindblæs Friskole;66d98da1-6fa4-4e71-b1e5-5bc708e3dff5;Norupvej;75;Norup;8970;Havndal;846;;;56.67478929;10.11453618;1107;6011;mail@vindblaes.dk;98583299;43096117;1001835044;15-11-2022 12:15:38;G15590
G15593;Børnehuset Sirius;32a478d3-b36a-4a90-9585-bec88eda6eef;Skolestræde;8;Hvilsom;9500;Hobro;846;;;56.65819849;9.61193857;1358;6012;info@hvilsomfriskole.dk;77341430;31832055;1014976236;01-12-2021 20:21:43;G15592
G15595;Børnehuset Rostrup - vuggestue;dff1f1bd-1eb6-4900-b763-5332ad0f6517;Rostrup Skolevej;6;Rostrup;9510;Arden;846;;;56.73350254;9.93831239;1262;6010;bornehusetrostrup@gmail.com;32207273;34038511;1017385662;15-12-2021 14:53:21;G15594
G15689;Privat Børnehaven Bitte Bæk;0a3f509c-abcd-32b8-e044-0003ba298018;Saxogade;4;;9000;Aalborg;851;;;57.04941729;9.91005988;7091;6012;info@bittebaek.dk;98162283;27486134;1010267974;14-02-2022 14:44:30;G15688
G15691;Den Musikalske Børnehave;0a3f50ca-b5b9-32b8-e044-0003ba298018;Slotsgade;31D;;9000;Aalborg;851;;;57.0488869;9.92510682;7523;6011;denmusikalskebornehave@gmail.com;81238364;20127880;1004147077;15-12-2021 15:00:17;G15690
G15693;Vuggestuen Villakulla;6fbda657-5bde-4d97-8ed2-20aa32457eea;Rathsacksvej;12;;1862;Frederiksberg C;147;;;55.67903258;12.53598996;655;6010;info@vuggestuenvillakulla.dk;33311060;33576447;1016729155;08-03-2022 12:51:15;G15692
G15699;Udebørnehaven Morgenfruen - Østskolen;98826c95-63ff-42d5-9291-a53e4ffcf2c8;Tornhøjvej;14;;9220;Aalborg Øst;851;;;57.02279809;9.99750555;8545;6012;kontor@oestskolen.dk;98157444;72573110;1002376654;01-12-2021 20:47:44;G15698
G15701;Privat Egense Friskoles Naturbørnehave;0a3f50c9-0620-32b8-e044-0003ba298018;Kystvej;52;Egense;9280;Storvorde;851;;;56.96062413;10.26916612;1120;6011;Sanne@egefrisk.dk;98311807;43017217;1001833739;02-12-2021 12:27:19;G15700
G15703;Privat Børnehuset Pippi;0a3f50ca-6d9d-32b8-e044-0003ba298018;Nibevej;120;;9200;Aalborg SV;851;;;57.00546746;9.86162481;5760;6012;trine@boernehuset-pippi.dk;29707363;33727615;1016997079;09-12-2021 07:45:38;G15702
G15705;Daginstitutionen Troldehulen Vuggestuen;0a3f50ca-41cb-32b8-e044-0003ba298018;Kollegievej;1;;9000;Aalborg;851;;;57.0249643;9.94521663;4346;6010;am@troldehulen.nu;98143231;24240703;1006439827;15-12-2021 15:03:36;G15704
G15711;Børnehuset Løvbakken;62acce08-9655-4c24-aa3e-d2d47d7fb9c2;Løvbakken;1;;9400;Nørresundby;851;;;57.07167054;9.92807342;5188;6011;;99823242;47075157;1018786911;13-06-2019 10:05:28;G15710
G15713;Børnehaven Budolfi Sogn;cc0e4cbc-0557-49f4-8a89-d9ddc6fc58fd;Maren Hemmings Vej;18;;9000;Aalborg;851;;;57.04871201;9.90454658;5248;6011;;98129592;25526279;1007807364;13-06-2019 10:05:29;G15712
G15715;Børnehaven Planetvej;52fd8a05-2e64-43bf-8bb0-708836af54c7;Planetvej;17;;9200;Aalborg SV;851;;;57.01846675;9.90972744;6433;6011;;98183030;24197476;1006398200;13-06-2019 10:05:29;G15714
G15717;Børnehaven Bakkegården;ea4b6651-8b67-4a3d-91f7-de285a8987f2;Årestrupsvej;1;;9000;Aalborg;851;;;57.04266794;9.96745807;9777;6011;;98132205;24197549;1006398285;08-06-2020 21:02:11;G15716
G15719;Børnehaven Valmuen;0a3f509c-6d55-32b8-e044-0003ba298018;Konvalvej;47;;9000;Aalborg;851;;;57.03042372;9.90267383;4415;6011;;98183888;24197441;1006398182;08-06-2020 20:58:51;G15718
G15721;Døgn Børnehuset Sdr. Skovvej;0a3f509c-ca80-32b8-e044-0003ba298018;Søndre Skovvej;11;;9000;Aalborg;851;;;57.03951925;9.90540393;8294;6012;;98120849;24199649;1006400322;23-08-2019 10:39:23;G15720
G15723;Børnehaven Tusindfryd;cb14964b-77e1-4789-b1a4-acdd68df5fa2;Kong Hans Gade;12;;9000;Aalborg;851;;;57.04800513;9.90780452;4378;6011;;99824542;25526244;1007807348;13-06-2019 10:05:29;G15722
G15725;Daginstitutionen Stokrosen;c820d689-2ab8-489e-8285-f55a6d003a10;Stokrosevej;8;;9380;Vestbjerg;851;;;57.1297793;9.95896631;7908;6012;;98296338;29466610;1006484890;13-06-2019 10:05:30;G15724
